date,GDP,Employment,Total hours,Productivity
Jan-08,100.0,100.0,100.0,100.0
Apr-08,99.8,100.1,98.9,99.9
Jul-08,98.3,99.6,99.0,98.8
Oct-08,96.2,99.5,98.4,96.9
Jan-09,94.3,98.9,96.7,96.6
Apr-09,94.0,98.0,96.3,96.2
Jul-09,94.0,97.9,95.8,96.8
Oct-09,94.3,98.0,95.9,95.8
Jan-10,95.0,97.7,95.7,98.6
Apr-10,96.0,98.3,96.6,97.9
Jul-10,96.7,99.0,97.0,98.5
Oct-10,96.7,98.8,97.5,98.0
Jan-11,97.2,99.2,97.5,98.5
Apr-11,97.5,99.2,96.5,99.8
Jul-11,98.2,98.6,97.0,100.0
Oct-11,98.2,98.8,97.3,99.7
Jan-12,98.4,99.2,97.9,99.2
Apr-12,98.1,99.9,98.5,98.4
Jul-12,98.9,100.2,99.4,98.3
Oct-12,98.4,100.8,99.8,97.5
Jan-13,99.0,100.6,100.0,97.9
Apr-13,99.7,100.8,100.1,98.3
Jul-13,100.4,101.4,101.2,98.0
Oct-13,100.7,102.0,101.5,98.0
Jan-14,101.6,102.9,102.4,98.0
Apr-14,102.5,103.4,103.3,98.0
Jul-14,103.1,103.7,103.4,98.5
Oct-14,103.7,104.1,104.3,98.3
Jan-15,104.0,104.1,104.3,98.3